binarize,average,distribution,sample_size,stat,pvalue
True,True,same_mean,20.0,-0.07102286806100262,0.9099
True,True,same_mean,20.0,-0.018241985930688372,0.483
True,True,same_mean,20.0,-0.04175446339119351,0.6915
True,True,same_mean,20.0,0.1308418761016009,0.0632
True,True,same_mean,20.0,0.025275315374715165,0.2736
True,True,same_mean,20.0,-0.039033052685316524,0.6454
True,True,same_mean,20.0,0.5839745732629433,0.0001
True,True,same_mean,20.0,-0.028127243834460948,0.5486
True,True,same_mean,20.0,-0.07977369280396762,0.8617
True,True,same_mean,20.0,-0.030060928916930657,0.4866
True,True,same_mean,20.0,0.06401727563139813,0.1706
True,True,same_mean,20.0,0.07592232458741423,0.1365
True,True,same_mean,20.0,0.4388617994904174,0.0021
True,True,same_mean,20.0,-0.017894550255346565,0.4436
True,True,same_mean,20.0,1.1685143438956144e-16,0.3207
True,True,same_mean,20.0,-0.0165721607070656,0.5014
True,True,same_mean,20.0,0.09817029354584039,0.1068
True,True,same_mean,20.0,-0.03261722885168664,0.5221
True,True,same_mean,20.0,0.020172093971651067,0.2463
True,True,diff_mean,20.0,0.33640332772597425,0.0041
True,True,diff_mean,20.0,0.31336578478325594,0.0092
True,True,diff_mean,20.0,0.29705198395804755,0.0084
True,True,diff_mean,20.0,0.3641697942074278,0.0055
True,True,diff_mean,20.0,0.12279806626883377,0.063
True,True,diff_mean,20.0,0.35548302280172894,0.0043
True,True,diff_mean,20.0,0.6051290233592215,0.0002
True,True,diff_mean,20.0,0.4575795061360157,0.0009
True,True,diff_mean,20.0,0.1839635258927553,0.0278
True,True,diff_mean,20.0,0.2832737244567581,0.0073
True,True,diff_mean,20.0,0.47306846798561836,0.0005
True,True,diff_mean,20.0,0.019497827808661085,0.2734
True,True,diff_mean,20.0,0.23757971400215244,0.0123
True,True,diff_mean,20.0,0.37402369675013175,0.0028
True,True,diff_mean,20.0,0.18915374990809522,0.0296
True,True,diff_mean,20.0,0.4524076367053609,0.0009
True,True,diff_mean,20.0,0.1399709399978839,0.0578
True,True,diff_mean,20.0,0.2895873556268108,0.0123
True,True,diff_mean,20.0,0.33743649268013787,0.0041
True,True,diff_mean,20.0,0.4554516923728498,0.0004
True,True,diff_mean,20.0,0.6054126350687425,0.0003
True,True,diff_mean,20.0,0.20108705327298335,0.0287
True,True,diff_mean,20.0,0.1320444183270844,0.0716
True,True,diff_mean,20.0,0.2716930994826723,0.015
True,True,diff_mean,20.0,0.341855471564016,0.0052
True,True,diff_mean,20.0,0.4485919631193517,0.0013
True,True,diff_mean,20.0,0.41495771778589124,0.0024
True,True,diff_mean,20.0,0.40970466718914966,0.0016
True,True,diff_mean,20.0,0.2937699101640324,0.0078
True,True,diff_mean,20.0,0.27711271006872323,0.0091
True,True,diff_mean,20.0,0.3158124962828392,0.0066
True,True,diff_mean,20.0,0.6702702048953726,0.0001
True,True,diff_mean,20.0,0.2846892294612232,0.0087
True,True,diff_mean,20.0,0.25196381845849536,0.0125
True,True,diff_mean,20.0,0.3933333333333328,0.0019
True,True,diff_mean,20.0,0.6134370155457758,0.0003
True,True,diff_mean,20.0,0.3848127830398863,0.0029
True,True,diff_mean,20.0,0.5222364194559349,0.0005
True,True,diff_mean,20.0,0.6804712555601945,0.0001
True,True,diff_mean,20.0,0.4561745697594689,0.0009
True,True,diff_mean,20.0,0.24437448205658885,0.0179
True,True,diff_mean,20.0,0.23421854660613683,0.0203
True,True,diff_mean,20.0,0.39255172997145227,0.0024
True,True,diff_mean,20.0,0.3627375638817153,0.0031
True,True,diff_mean,20.0,0.43342955410268447,0.0015
True,True,diff_mean,20.0,0.2543122789989134,0.0145
True,True,diff_mean,20.0,0.20324880693224123,0.0226
True,True,diff_mean,20.0,0.2983247623167145,0.007
True,True,diff_mean,20.0,0.6981617989444261,0.0001
True,True,diff_mean,20.0,0.5936865908170222,0.0002
True,True,equal,30.0,-0.034670037921789694,1.0
True,True,equal,30.0,-0.048344605420194996,1.0
True,True,equal,30.0,-0.036803878777107495,1.0
True,True,equal,30.0,0.037274790815368594,0.14555336997690244
True,True,equal,30.0,0.012724588506710746,0.23980538309854268
True,True,equal,30.0,-0.025709785891292837,0.632484659339999
True,True,equal,30.0,0.07992561701454584,0.06528468202868072
True,True,equal,30.0,-0.012961018511563066,0.43434783305515734
True,True,equal,30.0,-0.019240000011159747,0.5155431952403094
True,True,equal,30.0,-0.010389385923870098,0.4067369371959353
True,True,equal,30.0,0.036470585810359786,0.14786706376513262
True,True,equal,30.0,0.0038314715403087543,0.29100972052389956
True,True,equal,30.0,-0.043384691289667966,1.0
True,True,equal,30.0,0.012401305587985923,0.24146183528300874
True,True,equal,30.0,0.022040549179060724,0.19743915782063926
True,True,equal,30.0,-0.039956522052407434,1.0
True,True,equal,30.0,-0.025886076011798657,0.6364480361429672
True,True,equal,30.0,0.04519697788421603,0.12480908767374035
True,True,equal,30.0,0.044386639982799084,0.12677158049720408
True,True,equal,30.0,-0.005571285370961409,0.3614464170531865
True,True,equal,30.0,-0.010407373923994037,0.40692092828998505
True,True,equal,30.0,-0.042752749016152086,1.0
True,True,equal,30.0,0.003578493255711069,0.29265768043398865
True,True,equal,30.0,0.12368331903490633,0.02997893859148389
True,True,equal,30.0,-0.01377162761153061,0.4436393407755208
True,True,equal,30.0,0.04930842562534627,0.11535704618101128
True,True,equal,30.0,0.06302061430381505,0.08909671929025391
True,True,equal,30.0,-0.033415869498048624,1.0
True,True,equal,30.0,-0.04492042839013882,1.0
True,True,equal,30.0,0.009688117341250227,0.25592939194881453
True,True,equal,30.0,0.08551471986019281,0.05899404732383295
True,True,equal,30.0,0.0045817525595477915,0.28619125505076093
True,True,equal,30.0,0.016969338149998507,0.21927950182516753
True,True,equal,30.0,0.007831185556974894,0.2664493306952812
True,True,equal,30.0,0.12467840371167112,0.029463040431367705
True,True,equal,30.0,0.02410747082600561,0.18927855778465652
True,True,equal,30.0,-0.03426344611736215,1.0
True,True,equal,30.0,-0.035636035220042016,1.0
True,True,equal,30.0,-0.03630724085727002,1.0
True,True,equal,30.0,-0.029761479605412547,0.7434059637707897
True,True,equal,30.0,0.022029940523734522,0.19748209221379176
True,True,equal,30.0,-0.019454864937575898,0.5187619307647088
True,True,equal,30.0,0.0009594892271282883,0.31044428313336336
True,True,equal,30.0,-0.04521093915658301,1.0
True,True,equal,30.0,0.10869577301628486,0.038999869785321904
True,True,equal,30.0,-0.018577706668687365,0.5058371440704048
True,True,equal,30.0,0.015934354398371483,0.22408290257487595
True,True,equal,30.0,0.06010307398786225,0.09408269941873207
True,True,equal,30.0,-0.018521461068609805,0.5050273777571579
True,True,equal,30.0,-0.005763616960762183,0.36311490519045975
True,True,same_mean,30.0,0.11711441475458954,0.03362968909826954
True,True,same_mean,30.0,0.020835409669419193,0.20238736575404245
True,True,same_mean,30.0,0.11279398824822374,0.036281605356687306
True,True,same_mean,30.0,0.03958245019665352,0.1391373778238203
True,True,same_mean,30.0,0.11886245497054085,0.03261503501182642
True,True,same_mean,30.0,-0.022348484848484774,0.5659268635571608
True,True,same_mean,30.0,-0.006612771400691914,0.3706103948264623
True,True,same_mean,30.0,0.13461146863427423,0.024792178262767715
True,True,same_mean,30.0,-0.04625007667692517,1.0
True,True,same_mean,30.0,-0.030946725844441872,0.7890238238876679
True,True,same_mean,30.0,-0.018328843838428144,0.5022710016180123
True,True,same_mean,30.0,0.05756959914570112,0.09865902460926865
True,True,same_mean,30.0,0.2975571471691634,0.001628970493062227
True,True,same_mean,30.0,0.19103354067875333,0.009475113491313972
True,True,same_mean,30.0,-0.028313780145677835,0.6979754156694016
